seq_id,project_id,sample_id,replicat,kit,soil_type,ext_method,ext_instrument,rpm,time_seconds,time_minutes,sample_weight_mg,sample_target,ext_position,ext_plate,lib_position,lib_plate,lib_conc,conc_nanodrop,260/280,260/230,conc_qubit,integrity,library_id,lib_volume,experiment,before_total_reads,before_total_bases,before_q20_bases,before_q30_bases,before_q20_rate,before_q30_rate,before_read1_mean_length,before_read2_mean_length,before_gc_content,after_total_reads,after_total_bases,after_q20_bases,after_q30_bases,after_q20_rate,after_q30_rate,after_read1_mean_length,after_read2_mean_length,after_gc_content,passed_filter_reads,corrected_reads,corrected_bases,low_quality_reads,too_many_N_reads,too_short_reads,too_long_reads,duplication_rate,peak,seq_run,seq_lane
MFD004-4-F3-MJ362-A5_02,MFD004,MFD004-4,F3,PowerSoil Pro HT,Clay,Bead Beating,Fastprep-96,1600,360,6,119.3,125,G10,Bead Beating Optimization P2,A5,Small_v_full,4.69,54.37,1.92,2.13,53.35,9407,LIB-MFD004-4-1600-F3,Full-scale,Small_v_full_metagenome,29875474,4511196574,4228921682,3872320677,0.937428,0.85838,151,151,0.633923,20666314,3054118443,2978537638,2798994822,0.975253,0.916466,147,147,0.639437,20993372,927231,1191695,1590394,152,7291556,0,0.0114854,151,small_v_full,2
MFD004-4-S1-MJ362-G8_02,MFD004,MFD004-4,S1,PowerSoil Pro HT,Clay,Bead Beating,Fastprep-96,1600,360,6,125.7,125,E10,Bead Beating Optimization P2,G8,Small_v_full,0.52,49.96,1.92,2.14,44.39,10455,LIB-MFD004-4-1600-S1,Small-scale,Small_v_full_metagenome,27891662,4211640962,3968133477,3656636813,0.942182,0.868221,151,151,0.624305,20052254,2948855955,2882505341,2721293184,0.9775,0.92283,146,147,0.631778,20458760,1314113,1702468,1349710,98,6083094,0,0.0150829,151,small_v_full,2
MFD004-4-S2-MJ362-H8_02,MFD004,MFD004-4,S2,PowerSoil Pro HT,Clay,Bead Beating,Fastprep-96,1600,360,6,120.7,125,F10,Bead Beating Optimization P2,H8,Small_v_full,0.62,43.11,1.91,2.09,40.73,10589,LIB-MFD004-4-1600-S2,Small-scale,Small_v_full_metagenome,27422808,4140844008,3904170281,3599656431,0.942844,0.869305,151,151,0.626993,19537572,2872976326,2809250644,2653463806,0.977819,0.923594,146,147,0.633211,20041194,1227508,1581770,1328378,114,6053122,0,0.0191231,151,small_v_full,2
MFD004-4-S3-MJ362-A9_02,MFD004,MFD004-4,S3,PowerSoil Pro HT,Clay,Bead Beating,Fastprep-96,1600,360,6,119.3,125,G10,Bead Beating Optimization P2,A9,Small_v_full,0.01,54.37,1.92,2.13,53.35,9407,LIB-MFD004-4-1600-S3,Small-scale,Small_v_full_metagenome,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MFD004-5-F1-MJ362-A10_02,MFD004,MFD004-5,F1,PowerSoil Pro HT,Beach Sand,Bead Beating,Fastprep-96,1800,360,6,127,125,D4,Benchmarking V1.2,A10,Small_v_full,19.3,2.39,1.26,0.52,1.93,Not measured,LIB-MFD004-5-1800-F1,Full-scale,Small_v_full_metagenome,163130216,24632662616,22986026735,21171801990,0.933152,0.859501,151,151,0.620002,85370390,11976994308,11722778440,11089729659,0.978775,0.925919,140,140,0.63386,86921568,11703334,15384769,6228140,322,69980186,0,0.0105092,151,small_v_full,2
MFD004-5-F2-MJ362-B10_02,MFD004,MFD004-5,F2,PowerSoil Pro HT,Beach Sand,Bead Beating,Fastprep-96,1800,360,6,130.9,125,E4,Benchmarking V1.2,B10,Small_v_full,24,1.66,1.13,0.47,1.43,Not measured,LIB-MFD004-5-1800-F2,Full-scale,Small_v_full_metagenome,192959914,29136947014,27298116305,25223466571,0.93689,0.865687,151,151,0.613754,110251890,15615736861,15305993661,14521432885,0.980165,0.929923,141,141,0.63354,112802630,12507393,16288782,6928280,420,73228584,0,0.014269,151,small_v_full,2
MFD004-5-F3-MJ362-C10_02,MFD004,MFD004-5,F3,PowerSoil Pro HT,Beach Sand,Bead Beating,Fastprep-96,1800,360,6,121.3,125,F4,Benchmarking V1.2,C10,Small_v_full,21,3.1,1.24,0.66,0.71,Not measured,LIB-MFD004-5-1800-F3,Full-scale,Small_v_full_metagenome,125667160,18975741160,17699110038,16309618481,0.932723,0.859498,151,151,0.617444,70393458,9962342144,9750906926,9220695479,0.978777,0.925555,141,141,0.633105,71644396,8315683,10816693,4331404,146,49691214,0,0.0106441,151,small_v_full,2
MFD004-5-S1-MJ362-D10_02,MFD004,MFD004-5,S1,PowerSoil Pro HT,Beach Sand,Bead Beating,Fastprep-96,1800,360,6,127,125,D4,Benchmarking V1.2,D10,Small_v_full,1.81,2.39,1.26,0.52,1.93,Not measured,LIB-MFD004-5-1800-S1,Small-scale,Small_v_full_metagenome,98720746,14906832646,14031146448,12926172634,0.941256,0.867131,151,151,0.607523,60217470,8721859009,8522117125,8039740319,0.977099,0.921792,144,144,0.619106,64664302,4430407,5754446,4173618,368,29882458,0,0.0472522,151,small_v_full,2
MFD004-5-S2-MJ362-E10_02,MFD004,MFD004-5,S2,PowerSoil Pro HT,Beach Sand,Bead Beating,Fastprep-96,1800,360,6,130.9,125,E4,Benchmarking V1.2,E10,Small_v_full,0.86,1.66,1.13,0.47,1.43,Not measured,LIB-MFD004-5-1800-S2,Small-scale,Small_v_full_metagenome,134218196,20266947596,19089581231,17602650121,0.941907,0.86854,151,151,0.606944,80626302,11623724367,11363462505,10725098977,0.977609,0.92269,143,144,0.614729,89107332,8798504,11400924,5550562,376,39559926,0,0.0656408,151,small_v_full,2
MFD004-5-S3-MJ362-F10_02,MFD004,MFD004-5,S3,PowerSoil Pro HT,Beach Sand,Bead Beating,Fastprep-96,1800,360,6,121.3,125,F4,Benchmarking V1.2,F10,Small_v_full,1.74,3.1,1.24,0.66,0.71,Not measured,LIB-MFD004-5-1800-S3,Small-scale,Small_v_full_metagenome,94924312,14333571112,13432504800,12320461409,0.937136,0.859553,151,151,0.603009,58893168,8594381176,8382910682,7883533067,0.975394,0.917289,145,146,0.610677,64019482,4000245,5181426,4766920,416,26137494,0,0.0559972,151,small_v_full,2
MFD004-PCR-NEG-F-B5_02,NA,Plate1-PCR-NEG,F1,NA,PCR-NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,B5,Small_v_full,0.13,NA,NA,NA,NA,Not measured,LIB-Plate1-PCR-NEG-F1,Full-scale,Small_v_full_metagenome,11518,1739218,1566863,1427347,0.900901,0.820683,151,151,0.591215,2930,412230,401328,375963,0.973554,0.912022,140,140,0.465136,2968,593,753,450,0,8100,0,0.00347283,0,small_v_full,2
MFD004-PCR-NEG-S-B9_02,NA,Plate1-PCR-NEG,S1,NA,PCR-NEG,NA,NA,NA,NA,NA,NA,NA,NA,NA,B9,Small_v_full,0.01,NA,NA,NA,NA,Not measured,LIB-Plate1-PCR-NEG-S1,Full-scale,Small_v_full_metagenome,9748,1471948,1360899,1246881,0.924556,0.847096,151,151,0.584479,3186,455641,443447,415298,0.973238,0.911459,142,143,0.420667,3238,429,584,354,0,6156,0,0.045753,0,small_v_full,2
MFD004-PCR-POS-F-C5_02,NA,Plate1-PCR-POS,F1,NA,PCR-POS,NA,NA,NA,NA,NA,NA,NA,NA,NA,C5,Small_v_full,8.12,NA,NA,NA,NA,Not measured,LIB-Plate1-PCR-POS-F1,Small-scale,Small_v_full_metagenome,16657586,2515295486,2334718219,2120146347,0.928208,0.842902,151,151,0.577724,11232042,1660309451,1614574441,1509852565,0.972454,0.90938,148,147,0.581392,11382804,438720,563073,1102288,68,4172426,0,0.00938011,151,small_v_full,2
MFD004-PCR-POS-S-C9_02,NA,Plate1-PCR-POS,S1,NA,PCR-POS,NA,NA,NA,NA,NA,NA,NA,NA,NA,C9,Small_v_full,2.06,NA,NA,NA,NA,Not measured,LIB-Plate1-PCR-POS-S1,Small-scale,Small_v_full_metagenome,27351536,4130081936,3849613426,3512316289,0.932091,0.850423,151,151,0.561009,17228110,2511615760,2445752441,2292527914,0.973777,0.91277,145,145,0.562869,17533152,1065436,1380325,1481860,78,8336446,0,0.0118577,151,small_v_full,2
