A1: Ladder,B1: FastSpin-HT,C1: ,D1: ,E1: ,F1: ,G1: ,H1: ,A2: ,B2: ,C2: ,D2: ,E2: ,F2: ,G2: ,H2: 
11.68272,1.911032,1.485093,1.445486,1.176169,0.7086343,1.183531,1.106339,1.889748,1.537383,3.313716,6.087006,6.316286,1.726734,0.7804468,0.8271405
11.65226,1.805098,1.524932,1.414096,1.206188,0.7868342,1.180533,1.177272,1.796884,1.56237,3.58623,6.240289,6.345289,1.65289,0.8572854,0.8638461
11.78117,1.717555,1.450371,1.411934,1.040728,1.009575,1.189687,1.277749,1.708748,1.48158,3.475986,6.191101,5.805439,1.610084,0.867,0.9124317
11.40666,1.745271,1.429961,1.370636,0.8643996,0.9905628,1.156192,1.352681,1.575764,1.476596,3.544192,6.29518,5.994761,1.61774,0.8222868,0.9012614
11.40719,1.710545,1.460717,1.378969,0.7559283,1.001299,1.123457,1.301688,1.494376,1.439387,3.63177,6.250512,5.937631,1.756685,0.8349921,0.9039024
11.21662,1.764106,1.503956,1.356086,0.7087694,0.9579434,1.071679,1.214337,1.357024,1.5212,3.943711,6.120957,6.135834,1.778376,0.6989273,0.8992027
10.96101,1.881436,1.554357,1.284641,0.7058451,0.9966667,1.062853,1.161283,1.186969,1.590932,3.936157,5.856364,6.264747,1.658092,0.6361282,0.8196588
10.52955,1.835481,1.509169,1.186317,0.8991336,0.9434358,1.008293,1.100729,1.173203,1.481119,3.852611,5.629876,6.272258,1.544947,0.6400771,0.7306171
10.64115,1.803834,1.458661,1.105382,1.077746,0.9256845,0.9631085,1.055311,1.150889,1.374753,3.978979,5.805287,6.4039,1.443339,0.6714443,0.6677987
10.30509,1.733437,1.369732,1.053345,1.061552,0.9319529,0.8890666,1.05039,1.159026,1.273009,3.82341,6.316056,6.277622,1.431087,0.7928444,0.6289382
10.3163,1.572963,1.257213,1.097719,1.020993,1.015034,0.807716,1.071967,1.177194,1.231135,3.503603,6.417901,5.730157,1.480769,0.7753971,0.6431515
10.20024,1.395941,1.188537,1.165801,0.9691746,1.029312,0.8110821,1.102897,1.311331,1.302845,3.398993,6.343175,5.564969,1.59075,0.736476,0.6198806
10.3621,1.290954,1.175789,1.305801,0.9179726,0.9966161,0.7873515,1.0999,1.362863,1.308013,3.390582,6.106931,4.941405,1.711732,0.7622361,0.6323835
10.43924,1.249667,1.224667,1.345761,0.8954706,0.9710439,0.8012118,1.060386,1.358431,1.350737,3.428636,5.945214,5.35353,1.580334,0.6341811,0.6667429
10.3103,1.23745,1.221116,1.249907,0.8149528,0.9166078,0.8735132,1.080243,1.298242,1.328212,3.644541,5.746382,5.464797,1.540901,0.5822135,0.6850148
10.49082,1.174092,1.174078,1.064182,0.8299802,0.7892857,0.8535873,1.065771,1.269217,1.193141,3.746005,5.583951,5.156383,1.427283,0.5628507,0.636391
10.91709,1.213951,1.131366,0.9859906,0.786428,0.7913654,0.8614877,1.055857,1.183546,1.175799,3.617347,5.797505,4.947594,1.263877,0.6041983,0.6287898
10.65748,1.314805,1.054715,0.9295945,0.7766063,0.7291853,0.8479849,1.063693,1.132866,1.067267,3.097235,6.110733,4.57072,1.209834,0.5826208,0.6384246
10.50723,1.272386,1.103631,0.9639122,0.8422657,0.7148789,0.7584902,1.116995,1.078626,1.095275,2.67422,6.216113,4.148236,1.183574,0.5604398,0.6107923
10.15696,1.21612,1.129273,1.050046,0.8717275,0.6791295,0.7472355,1.017979,1.080041,1.192002,2.277675,5.972544,4.198455,1.234677,0.592649,0.5931734
9.888904,1.167426,1.16059,1.109207,0.8244548,0.7170596,0.7255034,0.9370989,1.015731,1.06458,2.417217,6.010763,4.40732,1.255551,0.6229488,0.5879378
9.758374,1.169585,1.224434,1.101442,0.8965669,0.7091369,0.7881146,0.875274,1.018825,0.970695,2.645507,5.42433,5.139457,1.261859,0.5924183,0.6005239
9.519286,1.182339,1.198429,1.024121,0.8328679,0.7275216,0.8869827,0.8581353,1.001689,0.9426416,3.220402,4.588758,5.202406,1.32372,0.6160269,0.5964842
9.771184,1.160051,1.145468,1.029425,0.7845418,0.682785,0.933604,0.8726674,1.110945,0.8166164,3.228632,4.166506,4.797036,1.340925,0.6171934,0.5940901
10.12362,1.297796,1.090312,1.075124,0.7041193,0.6682295,0.9738418,0.8491216,0.9962277,0.7756389,2.952504,3.947742,4.008916,1.29761,0.6287315,0.5885128
10.05576,1.411951,1.06265,1.114038,0.6492593,0.5839247,1.000281,0.8425462,0.9906071,0.689818,2.49961,4.354383,3.44108,1.240128,0.5845922,0.588388
9.754537,1.482906,1.176279,1.179473,0.7162416,0.5823005,0.9624448,0.8774554,1.02138,0.7378729,1.968749,4.567812,2.584969,1.205468,0.5359828,0.5596682
9.691113,1.507752,1.200363,1.228331,0.7006556,0.6347511,0.8904587,0.7784627,1.094643,0.9025831,1.779601,4.97835,2.344741,1.173333,0.5214354,0.6618697
9.566247,1.528164,1.193762,1.211833,0.6979119,0.7296603,0.9270496,0.750775,1.068841,0.9308128,1.804175,5.430282,2.810682,1.076434,0.5455105,0.7335797
9.440379,1.535047,1.151067,1.095317,0.7036446,0.7331987,0.8372758,0.8213618,0.9440466,0.9624184,1.615958,5.171496,3.190303,1.081824,0.5362793,0.7977355
9.295156,1.420486,1.118753,0.9804168,0.64266,0.8061018,0.8232522,0.9215983,0.8701178,1.051103,1.624479,4.769631,3.530462,1.096085,0.5392941,0.8161268
9.133108,1.323027,1.068634,0.9814134,0.5868294,0.8779305,0.8184652,0.9906088,0.8492904,1.113975,1.506637,4.359385,3.368447,1.062681,0.4959854,0.7845553
8.9335,1.350106,1.053367,0.9784864,0.5237343,0.838491,0.7370702,1.049667,0.6695992,1.212342,1.217288,4.240324,3.028251,1.129544,0.4336964,0.7472579
8.525918,1.317958,1.042748,0.9915779,0.4918446,0.8029612,0.7482117,1.066826,0.6941176,1.225713,0.8907551,4.205386,2.355286,1.201697,0.4352046,0.6970893
8.394824,1.320134,1.105606,1.035604,0.5729984,0.7124853,0.7094336,1.082026,0.8909826,1.173414,0.8521223,4.120997,1.106328,1.302732,0.3650359,0.7195643
8.692986,1.334052,1.104822,1.003554,0.5097498,0.6705281,0.7046885,0.9784703,1.206272,1.193619,1.111395,3.647316,0.2871347,1.443606,0.3493466,0.7681524
8.751196,1.398695,1.101564,1.025182,0.4391416,0.5994293,0.830333,0.8935959,1.446817,1.169036,1.251231,3.405691,0.4612611,1.50935,0.4402391,0.7810633
8.794326,1.494808,1.089029,0.9588729,0.4300836,0.5874699,0.8364177,0.9016323,1.467747,1.190195,1.271102,3.529576,1.085031,1.491776,0.479351,0.7752317
8.997605,1.63861,1.146702,0.925319,0.4503725,0.6742104,0.8562701,0.8932807,1.470697,1.224282,1.262707,3.6655,1.666956,1.458045,0.6348432,0.8444347
8.578883,1.745498,1.152375,0.9363633,0.5797905,0.7986308,0.8101748,0.8494026,1.500184,1.377084,0.9204131,3.357726,2.12563,1.417854,0.6736155,0.8519943
8.340414,1.823,1.138431,0.9831312,0.6854495,0.9046324,0.7153746,0.8225265,1.459882,1.619192,0.5154453,3.745238,2.722721,1.359103,0.6810661,0.8405129
8.058149,1.810396,1.177328,1.015472,0.7652276,0.9852702,0.6908175,0.8496369,1.435554,1.853184,0.02814769,3.889625,2.723501,1.413273,0.7252029,0.9188464
8.09234,1.776648,1.223731,1.037685,0.8657265,1.013252,0.7262912,0.9245582,1.446675,1.918244,0.05166182,4.080799,2.574919,1.570301,0.7627616,1.039568
8.355482,1.713925,1.271639,0.984338,0.8674625,1.10282,0.7322487,0.9765732,1.523704,1.947559,0.3324482,4.15109,2.513373,1.69068,0.7336884,1.163325
8.614334,1.697524,1.397617,0.9567546,1.033121,1.088291,0.8627409,1.087068,1.534146,1.926801,0.6755685,4.24988,2.357046,1.772631,0.7311478,1.196683
8.7308,1.737144,1.503948,1.017345,1.186334,1.113937,1.017221,1.224316,1.437755,2.193606,1.069375,4.638824,2.170778,1.812707,0.771932,1.237045
8.752142,1.76668,1.640543,1.092164,1.238219,1.071754,1.102381,1.328994,1.431125,2.24833,1.486769,4.818502,2.283943,1.85038,0.9177557,1.366726
8.485526,1.859367,1.800972,1.187265,1.331293,1.037189,1.170793,1.394533,1.43716,2.268649,1.402531,4.499516,1.963924,1.903713,1.023746,1.449301
8.475336,1.88819,1.905524,1.251249,1.219904,1.022295,1.183003,1.407945,1.494442,2.36687,1.520737,4.52978,2.052008,1.847263,1.145126,1.493114
8.128159,2.010283,1.973217,1.332213,1.142121,1.061768,1.219855,1.415007,1.63142,2.472719,1.74996,4.517838,2.276972,1.916435,1.316071,1.620751
8.114369,2.058255,2.162158,1.376478,1.10704,1.1431,1.298982,1.472163,1.769509,2.431352,1.994745,4.375236,2.599869,1.973862,1.392149,1.771237
8.155682,2.12995,2.25363,1.327683,1.125367,1.346685,1.319032,1.50721,1.883493,2.373652,2.480791,4.186058,2.553387,1.984834,1.490189,1.920473
8.356306,2.35216,2.361693,1.318796,1.303332,1.556438,1.437022,1.541197,2.024395,2.329765,2.960649,4.409109,2.31112,2.062199,1.479579,2.092241
8.516846,2.619909,2.440446,1.429829,1.528858,1.684115,1.514354,1.577871,2.186128,2.584485,3.246016,4.575189,1.927362,2.220502,1.514568,2.244886
8.684869,2.803191,2.525606,1.566845,1.657007,1.749853,1.592073,1.592129,2.334563,2.647902,3.459689,4.441762,2.43862,2.414846,1.627615,2.418349
8.972464,2.929885,2.623737,1.640829,1.898968,1.771923,1.686369,1.613308,2.537298,2.891304,3.365947,4.267238,2.37269,2.669568,1.739101,2.58854
9.180779,3.059774,2.838519,1.751112,2.128768,1.814536,1.710134,1.657751,2.743748,3.047577,3.257915,4.084591,2.647625,2.943709,2.000238,2.837182
9.066952,3.259738,3.033006,1.933921,2.414154,1.8218,1.826763,1.768005,2.939208,3.126538,3.193341,4.132874,3.124212,3.204028,2.23251,3.176118
8.922668,3.426062,3.40108,2.136358,2.644418,1.934619,2.001637,1.941918,3.091512,3.281919,3.350094,4.389526,3.668023,3.402727,2.459025,3.65125
8.856115,3.584774,3.862513,2.226493,2.985483,2.113034,2.275357,2.167008,3.194656,3.440525,3.927707,4.520474,4.186616,3.633121,2.927182,4.21661
8.858655,4.006972,4.494418,2.335976,3.388074,2.4264,2.535049,2.429647,3.269502,3.537151,4.54312,5.000448,4.626744,4.162819,3.390172,5.011075
9.083704,4.792893,5.271901,2.555215,3.943023,2.764168,2.820012,2.750314,3.500226,3.630165,4.834716,5.590847,4.564301,4.818454,4.013032,6.134136
9.569823,5.785742,6.199515,2.880945,4.604381,3.111206,3.294921,3.097765,3.748863,3.967934,4.837304,6.126198,4.96939,5.396482,4.840246,7.842176
9.968634,7.138136,7.392547,3.277526,5.630192,3.559196,3.84806,3.597491,4.220041,4.345953,5.025665,6.727899,5.364401,6.43277,5.898412,10.55296
10.5667,9.018508,9.343971,3.869353,7.072703,4.364676,4.614216,4.202742,5.226892,4.630521,5.312551,7.263982,5.983609,8.089902,7.192889,14.20058
11.25617,11.79157,12.25305,4.746544,9.09339,5.408031,5.651378,5.025703,6.514383,5.169524,5.761568,8.13625,7.347964,10.42806,9.061863,19.13598
12.53433,15.83395,16.38418,6.038525,12.12986,6.934991,7.124075,6.157367,8.376869,6.178847,7.190182,9.960886,9.377526,13.58004,11.77729,26.05649
14.00647,21.09987,21.91356,7.747661,16.98019,9.119822,9.678391,8.012959,11.22474,7.32485,8.958992,11.72816,11.62282,18.47679,15.7497,34.95895
16.58714,28.55596,29.35299,10.25141,23.32627,12.15465,13.26951,11.03609,14.76303,9.514518,11.83019,14.21608,14.13798,25.27874,21.70356,46.09612
21.15775,38.90548,39.79635,14.14912,32.39925,16.56793,18.45496,15.67039,20.5067,12.85635,15.86421,18.91747,18.4787,34.85006,30.57488,60.79299
27.38314,52.9264,53.4869,19.86175,44.55923,22.7297,25.92237,22.80002,29.62207,17.88877,21.38228,26.27907,26.58872,47.10429,42.29123,79.18349
36.09542,70.16615,70.77509,28.26162,61.13659,32.0016,36.75009,33.49067,42.50632,25.63163,30.55407,37.57072,37.12072,62.60466,56.40969,101.6992
49.33529,91.81067,91.47115,40.33129,82.48272,45.40246,50.56575,48.4502,59.29644,37.22246,43.78086,52.97268,52.0665,81.43291,74.07223,126.7035
67.50741,118.1126,116.656,56.59308,108.1002,63.21223,69.25563,67.72703,80.60729,52.86691,62.24463,74.78117,71.6149,104.2173,95.16293,153.6177
91.93575,148.4112,145.7081,77.09908,139.4932,86.29942,91.55839,92.13145,108.7419,73.66972,87.18314,102.1131,95.76456,130.5529,120.8171,186.0199
123.0008,183.7307,178.2139,104.6898,176.8651,115.4778,119.4975,121.9703,146.4454,99.19582,117.5829,136.1615,126.0351,162.1621,148.9826,219.086
161.067,222.2558,214.5066,138.1549,217.8163,150.2281,152.5578,160.0211,189.0631,131.9758,154.0564,176.8083,164.4836,199.8108,180.1485,253.8904
205.3089,263.4367,253.0885,177.2508,261.2969,192.2238,191.379,202.9959,237.4962,172.3372,196.2084,222.1636,211.6283,240.4248,215.8968,291.1931
253.4214,306.8333,293.3233,221.7047,303.9288,239.2547,237.0885,250.3066,290.3482,219.671,241.6471,269.8421,264.9224,285.4876,257.7911,329.2648
302.7685,349.7146,335.6018,270.3161,346.5294,290.228,288.3832,300.2176,342.4667,272.1009,288.791,318.6098,319.8326,333.2748,303.0368,367.3032
351.5858,389.4559,378.1352,321.8205,386.2917,343.544,342.526,351.084,389.823,328.244,338.4225,363.7561,374.3016,379.0999,348.045,403.8653
397.3634,426.6939,418.9573,373.1417,420.2516,393.239,395.6222,398.6127,430.4857,382.4165,389.3389,406.791,421.2097,420.9072,392.3247,435.9817
437.5144,458.1358,453.1299,419.8733,449.3734,436.5468,441.6529,438.9219,462.2476,429.5807,436.1973,445.2439,458.5698,454.494,433.0407,464.3955
470.2439,482.4956,479.111,460.0936,474.1931,469.8501,476.7424,470.9189,486.1953,466.4391,472.6639,476.1391,483.4207,479.0951,465.0829,485.1184
492.8711,496.5919,495.9372,488.7925,492.7585,490.9452,495.9393,493.5244,496.5283,489.6661,494.7921,495.9734,495.985,495.5027,485.9982,496.7935
499.7296,499.23,499.3006,499.9149,499.7502,499.7701,499.3884,499.5933,498.4082,499.993,498.1249,498.1891,497.9681,499.8896,497.8326,498.5518
493.6141,493.095,492.6656,494.1127,494.381,493.8962,488.6689,487.3969,490.0513,496.3902,483.484,483.3487,487.4568,494.6825,499.2187,488.66
474.9768,479.3806,477.8228,471.173,478.6937,475.5761,465.3458,458.1888,470.9177,477.9593,452.4381,453.0491,467.8357,480.645,490.4778,468.149
445.7777,456.4513,455.9744,431.9992,452.9969,447.6084,431.8015,415.0042,443.0784,449.093,411.3279,409.3159,441.9216,458.0268,468.5435,436.9232
408.9939,427.2474,426.3899,381.6144,418.9766,409.5624,390.0353,360.4857,410.1389,411.8767,365.772,357.4811,404.5479,428.7726,436.9742,397.0247
367.0252,393.8533,390.7411,324.8254,379.0109,363.8597,342.9528,300.1761,372.2629,368.6924,318.4247,303.9665,365.3523,395.7716,398.0454,351.1799
322.9904,357.202,350.2005,269.0764,338.637,314.4566,294.7145,242.2965,333.5604,324.2062,271.7935,253.4765,325.5341,359.5534,354.5534,302.6313
280.0218,317.4482,307.7245,217.7953,299.3147,265.4366,245.9328,191.8458,295.4655,280.1481,228.7001,206.6777,286.8904,323.3112,308.4412,255.3998
236.4193,276.6261,262.859,173.1967,259.7957,219.8868,201.4344,149.2608,261.077,240.2045,189.705,166.0766,252.0296,287.2964,263.5474,210.8687
197.5487,237.1619,221.5424,136.605,222.97,179.059,162.6232,115.609,228.1776,205.6595,156.8187,132.5989,219.5511,252.5499,220.3049,171.5037
164.4922,201.2874,183.909,108.6615,189.0156,145.0762,130.6178,90.60981,198.4602,174.3786,130.4028,107.3144,192.0934,220.4869,181.6475,138.2701
136.9471,168.5089,151.3871,86.62133,159.5282,117.8903,104.9536,72.51556,172.5224,148.5295,109.0355,88.41112,169.5249,191.6675,148.3602,111.4067
114.6179,139.2167,123.6339,69.88981,135.0363,96.74663,85.25895,59.03326,151.4255,127.535,92.58958,74.56089,146.5317,167.0188,119.5264,90.0825
97.20913,115.7116,101.8557,58.42265,115.3466,80.71365,70.75754,49.66884,133.9518,111.2049,79.90083,65.22012,129.261,146.5236,96.56013,74.33031
84.19717,97.38006,85.53188,50.87999,101.1606,69.04943,61.21571,43.81095,119.9504,98.4017,70.82695,58.77021,116.1083,130.1637,79.28531,62.24652
75.16759,83.38387,73.30097,46.2831,90.55188,60.95169,54.6425,40.41042,108.5694,88.46041,64.1441,54.40794,105.0374,116.6385,66.95899,54.35857
67.83741,72.71773,64.25901,43.05542,82.23417,55.48572,49.80663,38.23714,99.20915,80.14132,58.73882,51.11208,95.34064,105.5728,58.47717,48.85686
62.19711,64.92916,57.82577,40.34089,75.58763,51.50093,46.23217,36.43208,91.22987,73.42328,54.51047,48.19887,86.5415,96.74601,52.64242,44.8923
58.22896,58.73061,53.00078,37.90036,70.5873,48.77748,43.23513,34.63923,84.41891,67.93026,51.28539,45.37208,79.14166,89.24261,48.46884,41.83239
54.46803,54.34544,49.27411,35.5174,66.29075,46.30897,40.68532,32.79392,78.21106,63.4046,48.25312,42.31679,73.26925,82.8875,45.37162,39.49736
51.33881,50.58736,46.10151,33.0514,62.71398,44.13245,38.1606,30.51241,72.74145,59.66457,45.17737,40.10619,68.35967,77.38094,42.84187,37.39499
48.44429,47.37118,43.15073,30.49961,59.44476,41.87159,35.47279,28.05474,67.79345,56.37304,42.20396,37.73834,63.57521,71.7842,40.58836,35.23924
45.83474,44.44693,40.62463,27.94316,56.1808,39.43552,32.74849,25.6572,63.13044,53.64406,39.53447,35.28528,60.31488,66.85671,38.46112,33.1222
43.20719,41.41741,38.2298,25.40315,52.68679,37.12314,30.05782,23.28064,58.6613,51.12754,37.27438,33.03472,57.12789,62.19005,36.44138,31.03908
40.48501,38.55823,35.61513,22.87664,48.93382,34.72732,27.51148,21.01728,54.48188,48.60772,35.21418,30.9648,53.19814,58.0575,34.46617,29.10402
37.70376,35.65715,33.05016,20.56442,45.14564,32.38982,25.12916,18.70458,50.58051,45.9785,33.04443,28.55046,49.42407,54.42029,32.36179,27.57855
35.10007,32.78164,30.32206,18.44667,41.43826,30.21127,22.72136,16.74443,47.17237,43.43419,31.2626,26.28606,45.54724,50.87239,30.2339,26.03241
32.45579,30.25373,27.59887,16.70427,37.82093,28.15308,20.60751,15.14649,43.96734,40.91724,29.66957,24.18088,42.06191,47.76956,27.97492,24.66286
30.5811,27.80378,24.99917,15.14609,34.6363,26.1736,18.76722,13.80067,41.04958,38.2526,28.32608,22.49327,39.50444,45.04074,25.79952,23.46899
29.6661,25.75214,22.67857,13.70995,31.61221,24.39113,17.23045,12.72506,38.64692,35.96196,27.04346,21.04902,37.47111,42.37682,23.82961,22.34275
