A1: Ladder,B1: ZymoMagbead-HT,C1: ,D1: ,E1: ,F1: ,G1: ,H1: ,A2: ,B2: ,C2: ,D2: ,E2: ,F2: ,G2: ,H2: 
11.75395,3.231064,1.425548,1.328474,2.052475,1.535851,1.25401,1.069932,1.990614,1.526229,1.266707,1.486668,1.86061,1.190173,1.528899,0.8916063
11.72813,3.248706,1.501906,1.292194,2.108237,1.579631,1.304979,1.115666,1.99705,1.643535,1.35578,1.597523,1.969346,1.209797,1.540653,0.8886524
11.60139,3.280932,1.635502,1.329915,2.160402,1.641652,1.377368,1.151522,1.933915,1.673315,1.374295,1.658819,2.167986,1.365173,1.565386,0.9160859
11.46381,3.263119,1.737034,1.387269,2.227654,1.595057,1.397989,1.213848,1.991264,1.673138,1.400401,1.821944,2.375334,1.568024,1.557568,0.9718397
11.52783,3.247296,1.826386,1.423299,2.323414,1.599328,1.374433,1.24612,1.953494,1.695066,1.35898,1.952317,2.541384,1.743036,1.584101,1.063736
11.97398,3.240381,1.930032,1.442833,2.325735,1.66058,1.416278,1.314626,1.943007,1.775534,1.332705,2.053199,2.660555,1.798839,1.585937,1.131062
12.16582,3.191345,2.070274,1.510815,2.243781,1.69247,1.381571,1.365498,2.000903,1.7321,1.395312,2.005572,2.778974,1.844966,1.561566,1.148622
12.24407,3.227286,2.103909,1.549874,2.228124,1.690554,1.341888,1.416211,2.127769,1.672636,1.448704,1.910473,2.916109,1.900632,1.589285,1.199853
12.13869,3.242329,2.182094,1.5597,2.197428,1.668998,1.312353,1.461929,2.28005,1.701157,1.485341,1.906403,2.940536,1.902252,1.497333,1.227691
11.77514,3.199131,2.195645,1.516349,2.150513,1.584149,1.263376,1.508809,2.313797,1.721293,1.512804,1.943141,2.894599,1.850399,1.388014,1.196773
11.16088,3.206372,2.180204,1.551995,2.266321,1.544521,1.266221,1.44802,2.272436,1.719822,1.502642,1.977858,2.864466,1.795329,1.362417,1.156747
10.55932,3.180571,2.149792,1.509508,2.359643,1.554659,1.256028,1.422639,2.251864,1.715693,1.496532,2.031614,2.831225,1.750468,1.390983,1.112514
10.09583,3.060728,2.114656,1.448456,2.411196,1.501595,1.208682,1.39055,2.186633,1.718063,1.460654,2.103966,2.701491,1.759629,1.484956,1.11435
10.29004,2.946879,2.18573,1.426281,2.396528,1.541443,1.235147,1.374589,2.045132,1.745627,1.386264,2.084069,2.628031,1.726719,1.556199,1.137026
10.12414,2.809784,2.262876,1.497433,2.191634,1.533934,1.209792,1.37152,1.919471,1.70046,1.40124,2.177454,2.573576,1.751256,1.664843,1.141477
10.51757,2.758559,2.264021,1.50812,2.132513,1.515047,1.141292,1.352336,1.997792,1.707128,1.446187,2.255898,2.618912,1.803346,1.753554,1.167653
10.77894,2.786655,2.272393,1.459375,2.107349,1.552161,1.158956,1.446242,2.029271,1.764368,1.513408,2.339314,2.740143,1.890585,1.751003,1.218498
10.98852,2.799244,2.277495,1.462046,2.051714,1.502113,1.137664,1.489976,2.190619,1.880734,1.580851,2.390996,2.699615,1.943333,1.651028,1.183429
11.17713,2.93234,2.325786,1.443641,2.097617,1.440756,1.134894,1.468372,2.291621,1.928691,1.609259,2.470805,2.703472,2.008357,1.571644,1.218182
10.87248,2.818635,2.306319,1.33303,2.193891,1.41114,1.112334,1.466911,2.231527,1.858733,1.601306,2.449976,2.644334,1.988803,1.546929,1.213648
10.70047,2.683399,2.31155,1.339172,2.195899,1.295977,1.08836,1.469816,2.20888,1.802528,1.551136,2.470186,2.512045,1.932048,1.502887,1.205162
10.53836,2.641118,2.303105,1.388354,2.242403,1.261351,1.045853,1.417256,2.004845,1.731685,1.493513,2.406072,2.490415,1.909422,1.451585,1.206787
10.43005,2.625595,2.224326,1.453441,2.144606,1.213182,0.9865276,1.33646,1.871845,1.641266,1.418663,2.391874,2.353084,1.73843,1.43639,1.154782
10.64318,2.589929,2.155852,1.622288,2.174283,1.102959,0.9245778,1.257322,1.802612,1.535715,1.369683,2.328338,2.299554,1.583015,1.480277,1.083305
10.6484,2.661283,2.069081,1.619839,2.110185,1.14585,0.9482386,1.221522,1.703789,1.498078,1.362511,2.233373,2.312986,1.569953,1.509272,1.066969
10.87701,2.571968,2.02968,1.551316,2.004616,1.190754,0.9768266,1.239481,1.788614,1.52259,1.310841,2.08613,2.201547,1.61564,1.500469,1.071427
11.45412,2.496453,2.047805,1.474365,1.820352,1.132464,1.002589,1.221353,1.935356,1.509289,1.247801,2.009379,2.228083,1.725633,1.417542,1.14755
11.54378,2.32679,2.045195,1.336874,1.661634,1.165487,1.064964,1.246471,2.033679,1.491715,1.243905,1.885168,2.172249,1.761191,1.401054,1.107887
11.62675,2.209548,1.992526,1.254075,1.519109,1.191149,1.148145,1.303629,2.12306,1.490388,1.229415,1.96586,2.210088,1.688651,1.399014,1.124173
11.4326,2.247223,1.994124,1.154301,1.527736,1.232027,1.130465,1.337055,1.981796,1.508813,1.269964,1.946125,2.179208,1.726795,1.351811,1.128905
11.11373,2.256244,1.856288,1.083095,1.479581,1.337292,1.071141,1.295465,1.808088,1.511388,1.251535,1.963822,2.009973,1.621439,1.371604,1.049387
10.59942,2.296457,1.806444,1.176109,1.443786,1.316365,1.006383,1.270474,1.564347,1.467359,1.207712,1.940168,2.022331,1.445912,1.391966,0.9607543
10.13391,2.41701,1.781356,1.23661,1.403893,1.326986,1.014919,1.202924,1.299841,1.43826,1.233719,1.96303,2.081676,1.417673,1.426597,0.9282311
9.754319,2.341341,1.781188,1.248925,1.465268,1.290071,1.020572,1.198619,1.245897,1.393494,1.225044,1.915338,2.042353,1.351888,1.395134,0.9822549
9.835394,2.271783,1.782029,1.291142,1.477014,1.203075,1.055548,1.139575,1.159202,1.341844,1.240957,1.913216,1.996296,1.281868,1.275779,1.03419
9.799767,2.271299,1.842158,1.295999,1.452862,1.130926,1.084612,1.164137,1.281762,1.324143,1.272282,1.842109,1.853347,1.26687,1.280378,1.019214
9.744164,2.249256,1.846658,1.262874,1.481194,1.140968,1.16939,1.21937,1.383039,1.284971,1.283786,1.746984,1.856514,1.29582,1.277415,1.059722
9.570341,2.330759,1.840721,1.278374,1.594044,1.188963,1.092565,1.308036,1.427623,1.291775,1.291142,1.618083,1.883591,1.392987,1.276883,1.133464
9.232517,2.313431,1.849085,1.245563,1.646528,1.214204,1.054785,1.289675,1.381204,1.278089,1.260752,1.609825,1.885256,1.467349,1.313405,1.132828
8.952578,2.244973,1.839133,1.216409,1.623055,1.246725,1.045037,1.304197,1.30989,1.27035,1.25846,1.520764,1.951753,1.506664,1.288205,1.138771
8.509857,2.144818,1.787538,1.263627,1.63882,1.270797,1.063223,1.284593,1.329033,1.261928,1.298309,1.564301,2.130992,1.56831,1.274545,1.145712
8.778862,2.097256,1.748984,1.329506,1.697205,1.32987,1.109841,1.218319,1.397388,1.250574,1.338349,1.614383,2.154462,1.645499,1.28716,1.160079
8.957609,2.051858,1.734308,1.332235,1.708969,1.319936,1.102811,1.176653,1.395969,1.224252,1.425726,1.662185,2.07359,1.559097,1.236036,1.214601
9.086946,2.088036,1.76343,1.268133,1.614455,1.32504,1.108858,1.210106,1.537197,1.175136,1.398951,1.618979,1.946273,1.559112,1.258607,1.168968
9.295188,2.164254,1.826136,1.219331,1.604185,1.330124,1.111901,1.226545,1.596141,1.206211,1.357078,1.633739,1.803598,1.560121,1.328592,1.117249
9.229172,2.318848,1.878942,1.247284,1.625645,1.407361,1.025249,1.27097,1.679332,1.288384,1.352934,1.600848,1.771678,1.55514,1.429165,1.153485
9.005113,2.434006,1.948065,1.19821,1.530526,1.325979,1.025128,1.270965,1.605358,1.367764,1.376895,1.487613,1.726683,1.506615,1.57351,1.127774
8.84312,2.614156,1.941091,1.219711,1.546434,1.230841,1.03627,1.26121,1.440256,1.42802,1.36592,1.372936,1.654716,1.480122,1.63587,1.166649
8.289398,2.634935,1.897979,1.294937,1.575405,1.253976,1.129806,1.241451,1.390818,1.487675,1.383535,1.472251,1.67676,1.478182,1.663483,1.264225
8.914749,2.686845,1.856401,1.345041,1.664411,1.381902,1.235818,1.230488,1.448232,1.521707,1.413352,1.528036,1.798511,1.521472,1.722835,1.294811
9.173736,2.65318,1.836895,1.454919,1.792026,1.505976,1.304642,1.245037,1.498855,1.555107,1.422642,1.588943,1.891958,1.538939,1.772226,1.421782
9.219803,2.510458,1.792692,1.56061,1.783042,1.669412,1.4269,1.307423,1.541304,1.505032,1.385089,1.655277,1.910808,1.61183,1.747526,1.518621
9.310567,2.437587,1.861752,1.695962,1.920568,1.81203,1.52689,1.352516,1.556886,1.506196,1.374533,1.747762,1.955219,1.672724,1.77057,1.577672
9.112274,2.356939,1.92301,1.787907,2.055119,1.981345,1.48856,1.447052,1.611468,1.55244,1.449082,1.841262,1.980568,1.729391,1.821242,1.732313
8.797071,2.308692,1.965867,1.799299,2.065933,2.049346,1.508524,1.532695,1.723549,1.559338,1.524894,1.855813,2.061766,1.778911,1.892024,1.865204
8.451086,2.413166,1.984054,1.840833,2.210484,2.101154,1.545371,1.644894,1.761026,1.527987,1.49966,1.818866,2.13931,1.823044,1.962669,2.018797
8.262983,2.497059,1.977748,1.819242,2.281106,2.175102,1.646685,1.760599,1.746317,1.608572,1.490441,1.890386,2.243269,1.880256,2.031209,2.161179
8.491475,2.701454,2.034131,1.822916,2.343532,2.260022,1.74122,1.838207,1.819819,1.6758,1.609191,1.933549,2.355468,1.914361,2.116264,2.223182
8.48359,2.89189,2.086409,1.882594,2.49003,2.271264,1.77377,1.894241,1.859266,1.757409,1.761002,2.059599,2.424666,2.006969,2.301853,2.310045
8.651511,3.026405,2.168413,2.005579,2.574466,2.27998,1.884852,1.917536,1.892761,1.871529,1.930411,2.22701,2.550903,2.134003,2.403623,2.393136
9.040524,3.208713,2.260253,2.227989,2.778726,2.384252,2.063428,1.918704,1.953817,1.969627,2.104969,2.330778,2.693101,2.282502,2.533726,2.417654
9.230816,3.321011,2.378337,2.403889,2.889939,2.517684,2.19539,1.995191,2.035368,2.214478,2.256402,2.461756,2.855526,2.400585,2.668865,2.492348
9.343478,3.404976,2.477094,2.507457,2.977379,2.710536,2.305564,2.11914,2.288471,2.400784,2.349957,2.518017,3.04328,2.443854,2.787556,2.668384
9.46939,3.536984,2.56445,2.648767,3.131944,2.940873,2.447628,2.291172,2.512683,2.636602,2.349139,2.599737,3.333222,2.522974,3.017884,2.786334
9.640373,3.634843,2.615983,2.837214,3.281752,3.200665,2.684413,2.534672,2.638081,2.926236,2.369296,2.725903,3.686541,2.623196,3.245816,2.935093
9.482237,3.747074,2.711105,3.067879,3.495719,3.502472,2.874895,2.825613,2.633272,3.094864,2.472725,2.874144,4.035566,2.716935,3.527754,3.131095
9.349075,3.978962,2.900224,3.279237,3.860519,3.892125,2.992485,3.069065,2.741772,3.226228,2.690429,3.070191,4.331966,2.818899,3.923565,3.43369
9.502387,4.255264,3.154192,3.724453,4.275745,4.518522,3.262162,3.336831,2.874647,3.301247,2.979707,3.333387,4.676911,3.026873,4.513514,3.962112
9.829761,4.574669,3.46259,4.322299,4.712922,5.570269,3.796795,3.723128,3.062035,3.338329,3.239719,3.650652,4.752008,3.289931,5.234637,4.553537
9.976412,5.20803,3.959226,5.055796,5.23804,7.132603,4.432853,4.311596,3.425973,3.639214,3.596507,3.987684,5.023571,3.582019,6.268746,5.321849
10.59521,6.037208,4.606199,5.92218,6.112253,9.323242,5.387298,5.158761,3.898273,4.141584,4.107777,4.622371,5.228226,3.889405,7.90708,6.428196
12.05803,7.250722,5.413788,7.222574,7.720682,12.35048,6.825001,6.156327,4.606849,5.042908,5.000822,5.272393,5.6188,4.436375,10.44977,8.068013
14.52561,9.103686,6.51129,9.554194,10.00782,16.52575,9.272867,7.763966,5.700649,6.300334,6.498339,6.605043,6.829548,5.463748,14.30375,10.63551
17.67697,11.59026,8.081183,12.92282,13.26008,22.49129,12.47849,10.28765,7.219476,8.097964,8.363593,8.696035,8.963387,6.890497,20.03527,14.69803
22.71917,15.36275,10.15853,17.62123,18.17213,30.78689,16.99323,14.2198,9.754982,10.4852,11.25743,11.97021,11.85748,9.000993,28.13688,20.6624
30.23523,21.26091,13.76991,24.34538,25.45182,42.12645,23.49862,20.51133,13.61694,14.52136,15.92788,17.16595,16.94681,12.10765,39.0885,29.57062
41.25364,30.07673,19.55357,33.43921,35.966,56.84724,32.40638,29.19806,19.56451,20.78296,22.89845,25.54321,23.95787,16.89255,53.43581,41.76866
56.02361,43.09686,27.69579,46.15034,50.56782,75.66415,44.66922,41.44927,28.51867,29.61103,33.31811,38.10752,34.86563,24.60106,70.4344,57.78495
76.60535,60.34856,38.76837,62.02905,69.86082,99.92484,61.0204,58.17564,41.20885,42.61342,46.91704,55.54461,50.68818,35.87954,92.99111,77.13713
103.3567,83.31801,53.31569,82.82597,95.17225,128.7625,81.50454,79.27691,58.92527,61.23215,65.75533,78.04732,72.64999,51.42534,121.1332,103.3889
136.5328,114.8557,74.32021,109.6128,127.528,162.5661,107.2642,107.2243,84.0457,85.35877,91.04671,106.3389,103.5768,73.07249,153.3547,135.6646
175.5936,154.1349,101.9708,142.3799,166.1798,201.2035,137.5059,142.9884,117.5302,115.9731,123.3236,142.5495,143.0198,100.6901,188.8947,174.78
219.5669,200.3037,136.2922,183.3005,212.4667,246.9643,173.7558,186.5212,159.2328,154.2578,161.6348,186.8237,189.918,136.3578,229.8782,217.8352
266.6125,252.5722,177.8522,230.872,264.0777,293.2043,214.2063,235.4517,207.9568,200.0126,205.8767,236.8469,242.9992,179.7851,274.0231,263.9489
315.8234,308.4006,227.4372,281.5062,316.9807,341.419,258.623,287.9786,262.3211,252.9049,254.2689,289.6839,298.931,229.6706,317.3343,312.2502
364.4479,362.9214,283.1757,332.9388,368.8123,387.8392,307.2567,341.6155,320.3211,311.0528,306.0168,343.5737,355.1818,286.8389,361.1836,358.6226
409.978,412.5082,341.3668,381.8781,416.2362,430.0292,359.0139,391.5091,376.6904,367.6079,358.7523,393.0376,407.0734,347.8619,404.3915,400.6988
448.5144,453.7858,396.463,428.5711,455.0244,463.2802,409.6188,434.1098,426.177,419.7315,410.3036,436.3309,451.1531,404.183,445.1863,439.6431
476.9125,484.3313,443.6952,467.3116,483.318,486.1833,453.1507,467.974,464.2833,461.0728,454.441,469.6027,483.4596,450.6468,476.3154,470.6135
494.9534,499.239,478.595,491.8528,497.1655,497.3293,484.7414,489.9433,490.4406,488.502,485.2442,491.6773,499.9156,483.4695,495.3011,491.011
499.4774,497.3572,498.0987,499.493,498.9905,496.9616,498.6752,499.6018,499.552,498.8028,498.6902,499.7307,497.7304,498.4459,499.5131,499.7645
490.313,480.3218,498.7436,488.8009,488.6501,482.1503,494.4841,491.6504,492.3307,491.4917,491.7006,489.2036,480.1796,495.4781,490.8571,494.0601
469.7263,448.7498,480.3159,457.8056,465.4692,457.7758,472.0553,467.7302,471.304,468.2313,463.0874,460.2365,447.849,471.6163,465.3495,473.8435
438.4917,406.371,449.3988,409.6587,432.168,425.0239,437.4343,428.9295,438.03,431.9505,420.6146,416.5686,405.0112,434.8556,428.5953,439.9307
399.9188,358.0979,407.3736,353.9484,391.9311,385.1809,394.8243,378.5238,395.3181,383.7539,368.4265,362.4364,354.6665,387.9763,383.4226,391.9641
355.3131,307.738,358.3601,297.3529,346.4419,340.1499,347.6349,321.2002,345.8307,330.7874,313.1685,304.8446,302.8067,333.6775,333.9958,338.1475
308.6478,259.1302,305.7535,243.9952,298.3571,294.2514,298.4428,264.4619,293.2669,278.1016,258.392,248.611,251.8053,277.0544,283.4604,281.0214
263.606,213.1507,253.3941,195.7864,250.7677,250.306,250.0725,210.8224,243.3506,227.6081,207.3788,198.3598,204.7635,223.709,234.6882,225.5269
221.9774,173.1799,205.7974,153.9032,206.8531,208.2909,204.3181,164.746,197.4856,182.3226,163.3557,156.8485,163.601,176.8797,190.1179,177.6666
185.6524,139.9794,163.7174,119.8356,168.2237,170.2896,163.1747,127.4295,157.8878,144.498,126.6954,122.301,129.8954,137.6541,152.4803,138.7479
154.6405,112.1977,127.7521,92.93658,136.5051,138.867,129.7246,98.16102,125.9222,114.0222,98.17287,96.28088,103.9845,106.7276,121.9041,108.6914
128.7079,91.28638,99.70509,72.85992,111.5076,113.7828,103.0885,75.54279,100.8199,90.12589,77.25022,76.7014,84.15582,83.19369,98.49638,87.112
108.0153,76.39816,78.09756,58.90574,92.38998,93.98555,83.10134,60.0442,82.2152,72.5074,62.35305,63.21043,69.59631,66.34486,80.72478,71.60708
92.35194,66.39311,63.20052,50.10732,78.89046,78.05707,68.28661,49.24418,69.1601,60.94219,52.43499,54.17343,59.43329,54.84377,67.85523,60.24129
81.14024,60.14173,52.87476,44.60923,69.3082,67.09226,57.68168,42.66326,60.77497,53.15087,46.44229,47.93608,52.97451,47.5253,59.00393,52.85991
71.96442,55.94093,45.84261,41.02454,63.2037,59.04581,50.4156,38.35806,55.19889,47.8931,42.58206,43.5568,48.75648,43.00282,53.21452,47.83046
65.00459,53.12743,41.20333,38.85916,58.62717,53.07389,45.51126,35.37117,51.47437,44.30364,40.05608,40.58141,45.75385,39.99656,49.11486,44.36395
59.74335,51.04296,38.06541,37.37329,54.92635,48.85108,42.09291,33.29178,48.66243,41.81098,37.85314,38.35308,43.61258,37.89108,45.88944,41.56382
56.17761,49.00391,35.7584,36.03181,51.68009,45.3712,39.71172,31.50723,46.51916,39.67838,36.00764,36.62869,41.5666,36.04352,43.13498,38.91692
53.18027,46.91095,33.81734,34.70813,48.90826,42.70894,37.70179,29.65488,44.53904,37.81485,33.96632,34.98787,39.53617,34.12184,40.71881,36.45082
50.26504,44.62912,32.08897,33.26431,46.10593,40.42033,35.69302,27.78713,42.49627,35.89351,31.74067,33.00578,37.47462,32.2494,38.57189,34.03876
47.78615,42.22963,30.36332,31.64166,43.27682,38.13097,33.61261,25.83009,40.37851,33.84254,29.7005,31.03396,35.45311,30.47794,36.4387,31.58731
45.40482,39.72412,28.39457,29.97889,40.61444,35.77649,31.5226,23.87938,38.21334,31.44233,27.48321,28.78666,33.0889,28.51053,34.12213,29.18472
42.8773,37.37739,26.3097,28.266,37.98292,33.19058,29.29459,21.82208,35.75331,29.01308,25.36394,26.62628,30.39657,26.37257,31.80221,26.70891
40.35631,34.88166,24.20924,26.58474,35.17959,30.80768,27.11113,19.80501,33.24701,26.56763,23.1528,24.27967,27.86939,23.84225,29.40907,24.24631
38.1879,32.46056,22.27109,24.85272,32.32874,28.5638,25.09886,17.95558,30.75138,24.18434,20.95744,22.0766,25.52307,21.4085,27.06168,22.02998
36.16229,30.12274,20.34535,23.18186,29.61056,26.51958,23.11784,16.36644,28.46238,21.75064,18.94945,19.85109,23.32454,19.36794,24.66396,20.0919
34.14152,27.88783,18.52719,21.66319,27.03767,24.71776,21.38958,14.85528,26.34872,19.60929,17.11638,17.99037,21.37633,17.50291,22.51695,18.49325
