A1: Ladder,B1: Fastspin-LT,C1: ,D1: ,E1: ,F1: ,G1: ,H1: ,A2: ,B2: ,C2: ,D2: ,E2: ,F2: ,G2: ,H2: 
15.16412,58.2543,44.29486,42.4407,52.08331,23.38472,57.5854,42.16104,23.37446,6.858619,13.24521,18.379,19.22276,2.139672,1.182921,1.204054
14.80108,59.02906,45.42526,45.48196,52.1834,24.23626,58.20176,43.28042,24.05103,7.299542,13.56613,18.8727,20.72708,2.097234,1.353583,1.253873
14.48105,60.17359,46.9316,48.10739,52.82065,25.04925,59.36897,43.97468,25.00427,7.489618,15.60347,19.051,21.18378,2.210709,1.587147,1.441824
14.50406,62.19481,48.95511,50.13938,54.10254,26.12288,60.20414,44.74768,25.83439,7.755569,17.6318,19.49965,21.65771,2.311838,1.755637,1.504937
14.46461,64.86729,50.99518,51.42805,56.09583,26.70102,60.30387,45.5315,26.64519,8.126174,19.3585,20.19921,22.02841,2.190753,1.939461,1.606161
14.37918,66.87281,53.71651,50.26826,57.72836,27.69346,61.24424,45.6012,27.5414,8.788867,20.24729,21.08682,23.1292,2.108358,2.133166,1.747717
14.44576,68.42673,57.39854,50.62096,59.49301,28.79436,61.79876,45.23629,28.00436,9.156626,20.79764,21.89046,24.09136,2.074612,2.321109,1.748661
14.63493,70.74293,60.65462,52.57272,60.83454,29.70009,63.11889,45.06927,27.91812,9.24622,20.75976,23.73245,27.55958,2.162614,2.406365,1.887225
14.25197,73.39053,63.75083,53.37187,62.61295,30.15813,64.01604,46.68748,27.3505,9.48598,21.22726,25.17862,31.77181,2.384005,2.449842,2.105719
13.82799,77.10062,65.39404,53.53715,63.79876,30.9805,64.01498,48.15366,26.3663,9.5393,21.23075,26.38651,34.48958,2.623568,2.569409,2.38461
13.32426,81.2577,67.17878,54.60295,65.12758,31.75569,65.14058,49.04876,26.09392,9.332407,22.23048,26.83217,35.32137,2.763016,2.662589,2.60902
13.525,84.84737,69.35895,55.75894,66.15282,32.35443,66.53669,50.3353,25.85428,9.118023,23.04902,27.43523,36.16693,2.905198,2.64627,2.72949
12.80405,86.66816,71.15824,57.45069,68.61273,32.70636,68.07442,51.7827,26.23793,9.195868,22.80992,28.39735,36.1912,2.994864,2.670445,2.848505
12.00342,88.69747,73.42059,57.48013,70.93802,32.99115,69.2939,53.58406,26.55974,8.990376,21.91997,29.32055,35.18987,3.082728,2.677414,2.959053
11.36411,90.4361,76.54572,55.59917,73.33568,33.81659,70.23626,54.91961,27.25062,8.969198,21.32138,29.75759,32.3391,3.260578,2.689376,2.966789
11.08051,93.60558,79.29765,55.13361,75.91385,34.12025,71.0627,56.14545,28.51956,8.726005,21.49881,30.41467,29.9189,3.45031,2.703684,3.049904
10.99058,97.79972,80.95283,54.11479,77.99818,33.91011,71.86437,57.45149,27.67441,8.618449,21.46548,31.0117,31.18,3.686342,2.85304,3.171187
10.49638,102.17,82.69506,51.97076,79.12969,33.54187,71.66148,57.57901,26.30593,8.10734,21.57125,30.43199,31.88348,4.025596,2.907147,3.263615
10.16257,107.4265,83.15786,50.01538,79.5894,32.90371,71.73645,59.146,25.17517,8.19686,21.53879,30.30143,31.66394,4.260666,3.008855,3.346367
10.221,112.2716,83.5863,48.92426,78.62159,32.13038,72.99405,59.81884,23.65677,8.17914,21.49878,30.81502,31.51015,4.514916,2.968302,3.298677
10.04811,114.3076,84.90148,49.09632,78.05348,30.30439,73.58204,60.40798,22.09237,7.845098,20.18853,31.74205,31.67308,4.793499,2.849068,3.288205
9.835409,115.9895,83.48926,49.11114,78.94112,29.70124,74.59641,61.81673,20.69887,7.433853,18.51337,32.53598,32.54957,4.990363,2.711563,3.264074
9.653449,117.7868,83.46185,47.95862,78.32127,29.3235,75.50069,61.83811,20.04601,6.903604,17.81421,33.13501,32.10195,5.35765,2.532261,3.208271
9.434237,119.0321,82.61807,47.37768,79.98665,28.72723,75.27744,60.96795,20.25556,7.027197,16.87201,32.75421,31.09922,5.594975,2.473495,3.136954
9.178905,119.8935,80.90976,47.37449,80.64439,27.96572,75.63309,60.28587,19.80755,7.244997,14.97841,31.61752,30.94582,5.855458,2.490659,3.10261
8.613709,120.8164,79.56059,46.39139,80.0786,27.41863,75.60462,59.70731,18.71438,6.875758,13.44963,30.24901,30.58432,6.076322,2.466577,3.036064
8.239906,122.3096,77.48428,46.20686,79.0232,26.13211,74.55836,57.94942,17.84903,6.966773,12.90187,28.54762,29.86752,6.301624,2.368094,2.905888
7.698678,123.7256,75.43985,44.91061,77.75071,23.87725,74.29916,57.12817,16.89627,6.834566,12.90178,27.78821,27.2753,6.507028,2.304362,2.850038
7.8925,123.1399,74.62371,44.02582,76.00421,22.33863,73.60793,55.89141,16.10593,5.661938,13.21884,27.07879,24.7967,6.760594,2.242681,2.721549
7.986093,121.8448,73.93205,42.46128,73.90828,21.73883,72.71354,55.10719,15.07479,4.783948,14.04193,27.12429,24.07604,6.847626,2.226405,2.656041
8.3573,121.9067,72.24233,40.92965,71.91697,21.26145,71.38631,54.67014,14.13455,4.008399,15.55732,27.41706,24.02162,6.87328,2.226354,2.602337
8.394786,122.1006,71.21522,39.31182,70.18106,20.62086,69.05038,52.70488,13.77219,3.837228,15.72666,27.76609,23.87986,7.045943,2.209788,2.610846
