A1: Ladder,B1: PowerSoil-HT-Organic-1,C1: PowerSoil-HT-Organic-2,D1: PowerSoil-HT-Organic-3,E1: PowerSoil-HT-Sand-Clay-1,F1: PowerSoil-HT-Sand-Clay-2,G1: PowerSoil-HT-Sand-Clay-3,H1: PowerSoil-HT-Sand-1,A2: PowerSoil-HT-Sand-2,B2: PowerSoil-HT-Sand-3,C2: PowerSoil-HT-Clay-1,D2: PowerSoil-HT-Clay-2,E2: PowerSoil-HT-Clay-3,F2: PowerSoil-HT-Beach-Sand-1,G2: PowerSoil-HT-Beach-Sand-2,H2: PowerSoil-HT-Beach-Sand-3
13.01473,4.493949,2.083749,1.327479,4.099472,2.762245,0.8328041,1.336541,2.54146,2.318297,4.508239,3.795851,1.883239,1.76212,1.708127,0.6622432
12.91842,4.390189,1.973644,1.37855,4.351488,2.887347,0.8087787,1.382122,2.554667,2.352479,4.42097,3.801029,1.871377,1.917768,1.69477,0.6631068
12.78402,4.368563,1.803928,1.448666,4.477386,2.979744,0.9023516,1.377964,2.489776,2.357329,4.481455,3.762445,1.897849,1.992681,1.624151,0.6308498
12.72156,4.272933,1.642476,1.560816,4.506434,3.03795,0.9135001,1.375939,2.409828,2.366198,4.424469,4.078262,1.882963,1.986572,1.606141,0.5818689
12.61836,4.249882,1.525277,1.681879,4.513639,3.014045,0.9812623,1.270266,2.29664,2.330726,3.892616,3.844002,1.876534,1.972935,1.646608,0.6094528
12.66185,4.184143,1.450868,1.786808,4.249092,3.091606,0.9906637,1.15226,2.238297,2.365367,3.558534,3.722288,1.838121,1.935306,1.650757,0.6414247
12.47649,4.160333,1.521166,1.709767,4.180374,3.111566,0.7598099,1.154032,2.066261,2.342358,3.436419,3.889299,1.836526,1.795216,1.646232,0.6386728
12.48778,4.089358,1.584934,1.646346,4.245337,2.903018,0.6678837,1.20992,1.890642,2.366768,3.465462,3.851447,1.833744,1.662425,1.644805,0.5570506
12.46831,4.031765,1.49576,1.624213,4.176685,2.790377,0.6042084,1.291342,1.762212,2.438507,3.847484,3.768498,1.793822,1.582812,1.60337,0.4653597
12.92295,3.894859,1.350366,1.610505,4.260616,2.801555,0.5493588,1.356667,1.711358,2.469175,4.262022,3.650963,1.691208,1.778756,1.50811,0.4198181
13.01898,3.882706,1.365671,1.634027,4.258164,2.668774,0.4818242,1.450812,1.709953,2.44583,4.514757,3.627134,1.638715,1.78881,1.433051,0.3808086
13.63572,3.886791,1.263901,1.72287,4.105924,2.55003,0.4072933,1.434505,1.851494,2.395493,4.456134,3.394812,1.548806,1.742618,1.391627,0.3218045
14.6006,3.915851,1.212914,1.736729,3.885621,2.428077,0.505138,1.36827,2.019144,2.32672,4.448277,3.448415,1.560231,1.62842,1.365413,0.3573768
15.04623,3.923388,1.155417,1.779399,3.64372,2.410119,0.5555366,1.322172,2.128844,2.289935,4.333591,3.300378,1.628699,1.52064,1.3219,0.4172063
14.99724,3.898042,1.187037,1.685595,3.658514,2.41306,0.5600793,1.302351,2.199054,2.244509,4.13689,3.405946,1.695141,1.467098,1.388015,0.47065
14.64437,3.850764,1.228454,1.521248,3.379009,2.414972,0.7173641,1.214729,2.20637,2.172744,4.142364,3.175389,1.819106,1.424676,1.429286,0.44407
13.83437,3.885725,1.243238,1.402694,3.143291,2.53733,0.8034114,1.116125,2.041831,2.179253,3.960346,2.649846,1.834597,1.446514,1.416548,0.4059643
13.4705,3.863604,1.245956,1.399152,2.961348,2.542833,0.8011355,1.047584,1.993933,2.263805,3.891587,2.462886,1.739536,1.570919,1.395779,0.3947139
12.63383,3.797126,1.428915,1.33434,2.76713,2.47741,0.7239419,1.069858,1.91906,2.249879,3.624477,2.317915,1.698123,1.599977,1.370376,0.4144813
12.5743,3.782531,1.344957,1.446565,2.654586,2.567436,0.5796416,1.026016,1.941803,2.166069,3.444693,1.862907,1.665798,1.538181,1.30737,0.4891593
12.62074,3.675182,1.266978,1.522423,2.629348,2.519592,0.4518342,1.053299,2.007791,2.116546,3.523941,1.92746,1.676939,1.449012,1.234534,0.5574006
12.72976,3.50746,1.147072,1.520775,2.80527,2.402654,0.1836789,1.156031,1.950513,2.042488,3.486426,1.802935,1.72906,1.331812,1.208166,0.5674279
12.88167,3.468284,1.073443,1.561416,3.215036,2.375471,0.07324164,1.303768,2.006273,1.988868,3.620456,2.234437,1.730287,1.284499,1.269771,0.5833492
13.16808,3.435519,1.04021,1.579788,3.074428,2.199409,0.1477699,1.307832,2.017885,1.94997,3.599803,2.601799,1.768039,1.273267,1.356384,0.4597056
13.27422,3.427613,0.9046765,1.558388,2.864051,1.988647,0.1774635,1.300959,1.954228,1.863007,3.504187,2.45864,1.709857,1.303355,1.434915,0.3530712
13.28026,3.5298,0.92079,1.475914,2.607402,1.910143,0.147135,1.258618,1.941324,1.881652,3.250142,2.420395,1.616247,1.311022,1.435398,0.307513
12.92504,3.470888,0.9800152,1.325258,2.312708,1.884958,0.2762032,1.191961,1.780699,1.741876,2.911745,2.382238,1.662194,1.364603,1.404225,0.2515264
12.47791,3.313137,1.092395,1.224808,2.208161,2.006053,0.3393015,1.094031,1.69246,1.63232,2.75542,1.921101,1.603948,1.427311,1.345078,0.2959313
11.82161,3.189919,1.087586,1.105707,2.224845,1.966045,0.4393067,1.114826,1.637129,1.583161,2.602385,1.758979,1.544175,1.476827,1.32415,0.3275526
11.42449,3.133385,1.108749,0.930873,2.27504,1.927746,0.1848983,1.176087,1.487678,1.625049,2.44114,1.793403,1.554424,1.556058,1.337873,0.3293608
11.56807,3.14458,1.081778,0.9381264,2.340811,2.159924,0.1299938,1.220806,1.494279,1.71631,2.652526,2.070252,1.558678,1.402321,1.378687,0.371188
11.7763,3.217605,1.05591,1.010472,2.131551,1.996525,0.1575464,1.251208,1.5251,1.868004,2.581185,1.920498,1.556599,1.298079,1.408723,0.3698962
11.82876,3.243041,0.9216394,1.131866,1.95905,1.960403,0.1556553,1.228314,1.657626,1.937892,2.609248,1.702073,1.556634,1.261528,1.50705,0.3188182
11.70516,3.264105,0.8616006,1.206127,1.65206,2.023002,0.1424387,1.141411,1.814194,2.0864,2.28669,1.576651,1.583987,1.20171,1.577052,0.3589195
11.56037,3.272692,0.8353306,1.32454,1.506145,2.01907,0.1433782,1.06252,1.965982,2.167176,2.367479,1.664007,1.712494,1.228037,1.560467,0.3891009
11.29263,3.075556,0.8364126,1.457219,1.789581,1.89403,0.1842964,1.015127,2.077229,2.156539,2.294752,1.551977,1.771845,1.273694,1.549219,0.3912884
10.93992,3.027598,0.8741856,1.496783,1.999916,1.727182,0.2617515,0.9923314,2.194315,2.14349,2.189837,1.492703,1.74068,1.337382,1.55184,0.4455819
10.70633,3.139546,0.9903393,1.308031,1.919462,1.543955,0.1785393,0.9475347,2.174898,2.12812,1.856027,1.450077,1.782115,1.481827,1.516475,0.510535
10.67099,3.15909,0.9540626,1.22199,1.950355,1.728881,0.15644,0.8662224,2.11136,2.07808,1.666338,1.242296,1.760517,1.530866,1.471767,0.6013731
10.81836,3.250716,0.9406171,1.028969,1.890562,1.678318,0.2060837,0.8752784,1.97384,2.086981,1.593295,0.6051373,1.690427,1.529259,1.45263,0.6441652
10.86175,3.256742,0.8306729,0.8679087,1.995741,1.744068,0.2819071,0.8799861,1.865622,2.144324,1.597505,0,1.672806,1.571283,1.517881,0.6303362
11.00865,3.233376,0.7281599,0.7222251,1.816153,1.797362,0.3687336,0.8927436,1.773021,2.192219,1.598046,0.09233168,1.715498,1.525955,1.570032,0.5610784
11.24162,3.144322,0.6755984,0.6468533,2.017581,1.923238,0.3496187,0.9965476,1.763203,2.112064,1.661291,0.414538,1.788449,1.494377,1.541315,0.5714957
