A1: Ladder,B1: PowerSoil-LT-Organic-1,C1: PowerSoil-LT-Organic-2,D1: PowerSoil-LT-Organic-3,E1: PowerSoil-LT-Sand-Clay-1,F1: PowerSoil-LT-Sand-Clay-2,G1: PowerSoil-LT-Sand-Clay-3,H1: PowerSoil-LT-Sand-1,A2: PowerSoil-LT-Sand-2,B2: PowerSoil-LT-Sand-3,C2: PowerSoil-LT-Clay-1,D2: PowerSoil-LT-Clay-2,E2: PowerSoil-LT-Clay-3,F2: PowerSoil-LT-Beach-Sand-1,G2: PowerSoil-LT-Beach-Sand-2,H2: PowerSoil-LT-Beach-Sand-3
13.37056,8.545742,7.170635,3.869957,2.961684,2.462542,2.248996,1.900518,2.61879,2.170715,5.824458,3.747098,4.389997,1.812428,1.457176,1.220595
13.46337,8.709339,6.86424,4.261477,3.015086,2.560071,2.118104,1.972708,2.59733,2.304434,6.008581,3.804175,4.248022,1.764002,1.357282,1.203856
13.59655,9.296862,6.365423,4.718208,3.00404,2.658266,2.226526,2.011626,2.551038,2.406268,6.040962,3.981936,4.084085,1.698367,1.270388,1.21394
13.94349,9.397648,6.356185,4.846707,3.042062,2.768191,2.293026,2.052989,2.616009,2.333205,6.135619,4.224429,3.969945,1.647529,1.262823,1.190717
13.74881,9.305868,6.347201,4.870768,3.061917,2.858257,2.358575,2.148845,2.625224,2.173925,6.029605,4.511496,3.822873,1.652024,1.330843,1.178804
13.46539,8.875345,6.334398,4.9088,2.972677,2.797673,2.496254,2.203938,2.654119,2.177723,6.211472,4.513605,3.546504,1.681587,1.396504,1.150921
13.2711,8.379271,6.442039,4.604681,2.876434,2.565639,2.650703,2.318003,2.631437,2.2219,6.291722,4.468285,3.381893,1.672412,1.464517,1.037271
13.31756,7.973127,6.369453,4.452874,2.790042,2.387736,2.606635,2.365343,2.661272,2.276402,6.351675,4.352422,3.331933,1.683945,1.551846,0.9167991
13.48665,7.715689,6.370901,4.178399,2.697812,2.231213,2.420667,2.265863,2.585422,2.227676,6.313307,4.267624,3.425385,1.656512,1.551635,0.847443
13.30348,7.53549,6.014576,4.125182,2.667929,2.097177,2.253373,2.250038,2.504175,2.321229,6.042061,4.153948,3.557067,1.613263,1.452461,0.8339261
13.18997,7.970224,5.798233,4.093348,2.615858,2.019395,2.261368,2.135785,2.497744,2.388846,5.815238,4.018035,3.664932,1.514931,1.344771,0.8943877
13.26469,7.997974,5.514013,3.954396,2.497227,2.014172,2.182104,2.008164,2.587202,2.385454,5.578537,3.928584,3.722264,1.432013,1.258954,0.9392188
11.97243,7.777884,5.150304,3.825043,2.578615,2.010805,2.163983,1.947716,2.504733,2.244143,5.339322,3.948522,3.549222,1.404122,1.163753,1.004259
11.01754,7.71432,4.802273,3.644533,2.370016,2.024936,2.13167,1.887589,2.492185,2.15909,5.157872,3.955317,3.393775,1.319169,1.153735,1.09637
10.22054,7.735965,4.55798,3.138594,2.206327,1.968771,2.090924,1.932529,2.507769,2.095262,4.873634,3.946937,3.29578,1.225992,1.178794,1.062869
9.955674,7.297029,4.171754,3.062536,2.163718,1.942072,1.981069,1.936577,2.585002,2.039366,4.708428,3.88861,3.186654,1.234512,1.297102,1.103771
9.803222,6.79208,4.299388,3.19101,2.043948,2.027202,1.724298,1.9105,2.353123,1.945945,4.699679,3.903681,3.410871,1.264948,1.332476,0.9898579
9.650399,6.328393,4.400789,3.331407,2.216757,1.994341,1.524683,1.98214,2.201121,1.831421,4.483556,3.909158,3.516075,1.304736,1.374818,0.8728085
9.914719,6.111814,4.248582,3.291634,2.309072,1.827244,1.450285,2.015585,2.029052,1.710657,4.221956,3.870977,3.57687,1.424703,1.423873,0.8011171
10.42493,5.630729,3.669811,3.202342,2.241549,1.737372,1.355645,1.974291,1.800164,1.571617,4.189762,3.777672,3.475187,1.510078,1.407876,0.7088693
10.43621,5.587672,3.406911,3.466856,2.353324,1.555309,1.154309,1.980191,1.591792,1.407383,4.091794,3.64165,3.041694,1.573275,1.361423,0.6829596
10.77393,5.717237,3.316768,3.810552,2.122672,1.355368,1.061536,1.892356,1.640743,1.362304,3.966207,3.534675,2.760598,1.533451,1.295575,0.6774467
10.86577,5.555431,3.359493,3.695904,2.022768,1.206696,0.9862784,1.781328,1.796573,1.429103,3.870809,3.289942,2.564217,1.463762,1.266875,0.6981333
10.6458,5.457466,3.543137,3.733712,2.011334,1.23426,1.039111,1.714046,2.179749,1.580456,3.8734,3.131677,2.581139,1.404197,1.17512,0.8262228
10.52998,5.547379,3.962763,3.742499,2.018347,1.287588,1.214737,1.611943,2.234373,1.624509,3.931425,3.071829,2.427311,1.352506,1.123324,0.7418326
10.22974,5.22674,4.275078,3.517125,2.174864,1.322046,1.361634,1.60848,2.256749,1.581668,3.745996,2.760177,2.240409,1.29534,1.120343,0.794239
9.554605,5.034886,4.245036,2.957998,2.06456,1.32322,1.632943,1.620075,2.184737,1.560338,3.275774,2.673651,2.18964,1.333041,1.168381,0.9304031
